Country,State,Year,Crop Category,Season,Crop Name,Area (UOM:Ha(Hectares)),Production (UOM:t(Tonnes)),Yield (UOM:Kg/Ha(KilogramperHectare))
India,Kerala,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Rabi,Pulses,1.6,0,0
India,Chandigarh,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Rabi,Cereals,0.055,0.253,4600
India,Mizoram,"Agriculture Year (Jul - Jun), 2018",Foodgrains,Kharif,Pulses,2.098,3.423,1631.554
India,Jammu And Kashmir,"Agriculture Year (Jul - Jun), 2014",Oilseeds and Commercial Crops,Rabi,Linseed,0.12683565657974822,0.11707906761207528,900.608287451263443638
India,Manipur,"Agriculture Year (Jul - Jun), 2015",Foodgrains,Kharif,Other Pulses,2.49,2.78,1116.466
India,Jharkhand,"Agriculture Year (Jul - Jun), 2017",Foodgrains,Kharif,Ragi,19.013,18.481,972
India,Haryana,"Agriculture Year (Jul - Jun), 2011",Oilseeds and Commercial Crops,,Sugarcane,95,6959,73252.632
India,Jammu And Kashmir,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Kharif,Cereals,590.223873940477738006,1315.56869981205155666,2174.677336089318150008
India,Karnataka,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Rabi,Gram,946,716,756.871
India,Nagaland,"Agriculture Year (Jul - Jun), 2013",Oilseeds and Commercial Crops,,Mesta,1.83,0.365,199.672
India,Meghalaya,"Agriculture Year (Jul - Jun), 2015",Oilseeds and Commercial Crops,,Mesta,4.469,4.727,1057.807
India,Goa,"Agriculture Year (Jul - Jun), 2012",Foodgrains,Rabi,Pulses,9.72,8.78,903.292
India,Gujarat,"Agriculture Year (Jul - Jun), 2013",Foodgrains,Kharif,Small Millets,38,41,1078.947
India,Jharkhand,"Agriculture Year (Jul - Jun), 2016",Foodgrains,Kharif,Coarse Cereals,312.358,572.903,1834.123
India,Madhya Pradesh,"Agriculture Year (Jul - Jun), 2014",Oilseeds and Commercial Crops,,Mesta,2,1.001,500.4
India,Ladakh,"Agriculture Year (Jul - Jun), 2017",Foodgrains,Rabi,Wheat,7.286752663743017840,11.8628313892853744270,39.6273160628461820
India,Mizoram,"Agriculture Year (Jul - Jun), 2011",Foodgrains,Kharif,Coarse Cereals,6.69,8.12,1213.752
